,,,Alunos,Matricula,CPF,Curso,Campus,Turno,Mensalidade,Ano,Situação,Status,GENERO,IDADE
",,,Abel Azevedo,2659,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Pago,1,M,28"
",,,Alana Silva,2437,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,1,F,28"
",,,Alberto Sá,2227,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,2,M,20"
",,,Bartolomeu Silva,2442,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Pago,1,M,37"
",,,Danila Souza,1890,546463-67,Administração,Brotas,Manhã,""  1.600,00 "",2014,Pago,1,F,37"
",,,Debora Luz,2420,767685-98,Letras,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,F,28"
",,,Doroty borges,2151,978786-90,Marketing,Cabula,Manhã,""  1.400,00 "",2014,Não Pago,1,F,43"
",,,Fernanda Galvão,1543,657464-78,Nutrição,Brotas,Manhã,""  1.370,00 "",2014,Não Pago,1,F,39"
",,,Júlia Gilbratar,1793,763635-98,Veterinária,Brotas,Noite,""  1.250,00 "",2014,Pago,2,F,37"
",,,Helena Miranda,2332,635342-09,Gastronomia,Brotas,Noite,""  1.470,00 "",2014,Pago,1,F,39"
",,,Jussara Amaral,2269,635353-87,Filosofia,Cabula,Manhã,""  1.876,00 "",2014,Pago,1,F,19"
",,,Raquel Fernandes,1709,726265-76,Engenharia Civil,Brotas,Noite,""  1.900,00 "",2014,Pago,2,F,19"
",,,Sandra Miranda,1945,989889-90,Medicina,Cabula,Manhã,""  1.400,00 "",2014,Pago,1,F,39"
",,,Anderson Silva,1997,878798-90,Direito,Cabula,Noite,""  1.600,00 "",2014,Não Pago,1,M,41"
",,,Carlos Ká,1438,989787-89,Estatística,Brotas,Noite,""  2.000,00 "",2014,Pago,2,M,20"
",,,Bartolomeu Silva,2247,979878-90,Informática,Brotas,Manhã,""  1.300,00 "",2014,Pago,2,M,37"
